дата,модель,случай,найдено,ожидалось,ложных,секунд
2026-08-24_165646,deepseek/deepseek-chat,05-volume,2,3,0,7
2026-08-24_165646,deepseek/deepseek-chat,06-split-c,1,1,0,13
2026-08-24_165735,openrouter/google/gemini-3.7-flash,01-tokens,2,2,0,12
2026-08-24_165735,openrouter/google/gemini-3.7-flash,02-orders,3,3,0,12
2026-08-24_165735,openrouter/google/gemini-3.7-flash,03-storage,3,3,1,28
2026-08-24_165735,openrouter/google/gemini-3.7-flash,04-concurrency,2,2,0,12
2026-08-24_165735,openrouter/google/gemini-3.7-flash,05-volume,1,3,0,10
2026-08-24_165735,openrouter/google/gemini-3.7-flash,06-split-c,0,1,0,12
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,01-tokens,2,2,0,21
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,02-orders,2,3,0,12
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,03-storage,3,3,0,16
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,04-concurrency,2,2,0,25
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,05-volume,3,3,0,39
2026-08-24_165901,openrouter/moonshotai/kimi-k2.7-code,06-split-c,1,1,0,60
2026-08-24_170154,openrouter/z-ai/glm-5.2,01-tokens,2,2,0,12
2026-08-24_170154,openrouter/z-ai/glm-5.2,02-orders,3,3,0,9
2026-08-24_170154,openrouter/z-ai/glm-5.2,03-storage,3,3,1,10
2026-08-24_170154,openrouter/z-ai/glm-5.2,04-concurrency,2,2,0,14
2026-08-24_170154,openrouter/z-ai/glm-5.2,05-volume,3,3,0,12
2026-08-24_170154,openrouter/z-ai/glm-5.2,06-split-c,1,1,0,7
2026-08-24_170258,deepseek/deepseek-chat,01-tokens,2,2,1,10
2026-08-24_170258,deepseek/deepseek-chat,02-orders,3,3,0,7
2026-08-24_170258,deepseek/deepseek-chat,03-storage,3,3,0,11
2026-08-24_170258,deepseek/deepseek-chat,04-concurrency,2,2,0,7
2026-08-24_170258,deepseek/deepseek-chat,05-volume,2,3,0,12
2026-08-24_170258,deepseek/deepseek-chat,06-split-c,1,1,1,29
2026-08-24_170414,openrouter/google/gemini-3.7-flash,01-tokens,2,2,0,35
2026-08-24_170414,openrouter/google/gemini-3.7-flash,02-orders,3,3,0,10
2026-08-24_170414,openrouter/google/gemini-3.7-flash,03-storage,3,3,1,64
2026-08-24_170414,openrouter/google/gemini-3.7-flash,04-concurrency,1,2,0,10
2026-08-24_170414,openrouter/google/gemini-3.7-flash,05-volume,1,3,0,12
2026-08-24_170414,openrouter/google/gemini-3.7-flash,06-split-c,0,1,0,11
2026-08-24_170636,openrouter/moonshotai/kimi-k2.7-code,01-tokens,2,2,0,18
2026-08-24_170636,openrouter/moonshotai/kimi-k2.7-code,02-orders,2,3,0,14
2026-08-24_170636,openrouter/moonshotai/kimi-k2.7-code,03-storage,3,3,0,20
2026-08-24_170636,openrouter/moonshotai/kimi-k2.7-code,04-concurrency,2,2,0,25
2026-08-24_170636,openrouter/moonshotai/kimi-k2.7-code,05-volume,0,3,0,18
2026-08-24_170636,openrouter/moonshotai/kimi-k2.7-code,06-split-c,1,1,0,47
2026-08-24_170858,openrouter/z-ai/glm-5.2,01-tokens,2,2,0,13
2026-08-24_170858,openrouter/z-ai/glm-5.2,02-orders,3,3,0,10
2026-08-24_170858,openrouter/z-ai/glm-5.2,03-storage,3,3,0,10
2026-08-24_170858,openrouter/z-ai/glm-5.2,04-concurrency,2,2,0,27
2026-08-24_170858,openrouter/z-ai/glm-5.2,05-volume,3,3,0,29
2026-08-24_170858,openrouter/z-ai/glm-5.2,06-split-c,1,1,0,158
2026-08-30_195305,openrouter/z-ai/glm-5.3-flash,01-tokens,2,2,0,35
2026-08-30_195305,openrouter/z-ai/glm-5.3-flash,02-orders,3,3,0,34
2026-08-30_195305,openrouter/z-ai/glm-5.3-flash,03-storage,3,3,0,28
2026-08-30_195305,openrouter/z-ai/glm-5.3-flash,04-concurrency,2,2,0,20
2026-08-30_195305,openrouter/z-ai/glm-5.3-flash,05-volume,3,3,0,71
2026-08-30_195305,openrouter/z-ai/glm-5.3-flash,06-split-c,1,1,0,76
2026-08-30_195744,openrouter/z-ai/glm-5.3-flash,01-tokens,0,2,0,6
2026-08-30_195744,openrouter/z-ai/glm-5.3-flash,02-orders,3,3,0,29
2026-08-30_195744,openrouter/z-ai/glm-5.3-flash,03-storage,3,3,0,33
2026-08-30_195744,openrouter/z-ai/glm-5.3-flash,04-concurrency,2,2,0,53
2026-08-30_195744,openrouter/z-ai/glm-5.3-flash,05-volume,2,3,0,51
2026-08-30_195744,openrouter/z-ai/glm-5.3-flash,06-split-c,1,1,0,96
2026-08-30_200212,openrouter/z-ai/glm-5.3-flash,01-tokens,2,2,0,22
2026-08-30_200212,openrouter/z-ai/glm-5.3-flash,02-orders,3,3,0,25
2026-08-30_200212,openrouter/z-ai/glm-5.3-flash,03-storage,3,3,0,27
2026-08-30_200212,openrouter/z-ai/glm-5.3-flash,04-concurrency,2,2,0,28
2026-08-30_200212,openrouter/z-ai/glm-5.3-flash,05-volume,3,3,0,311
2026-08-30_200212,openrouter/z-ai/glm-5.3-flash,06-split-c,1,1,0,70
2026-08-30_201015,openrouter/z-ai/glm-5.3-flash,01-tokens,2,2,0,64
2026-08-30_201015,openrouter/z-ai/glm-5.3-flash,02-orders,3,3,0,32
2026-08-30_201015,openrouter/z-ai/glm-5.3-flash,03-storage,3,3,0,36
2026-08-30_201015,openrouter/z-ai/glm-5.3-flash,04-concurrency,1,2,0,27
2026-08-30_201015,openrouter/z-ai/glm-5.3-flash,05-volume,3,3,0,113
2026-08-30_201015,openrouter/z-ai/glm-5.3-flash,06-split-c,1,1,0,84
2026-08-30_203325,deepseek/deepseek-v4-pro,01-tokens,2,2,0,26
2026-08-30_203325,deepseek/deepseek-v4-pro,02-orders,3,3,0,13
2026-08-30_203325,deepseek/deepseek-v4-pro,03-storage,2,3,0,22
2026-08-30_203325,deepseek/deepseek-v4-pro,04-concurrency,2,2,0,19
2026-08-30_203325,deepseek/deepseek-v4-pro,05-volume,1,3,0,42
2026-08-30_203325,deepseek/deepseek-v4-pro,06-split-c,1,1,0,145
2026-08-30_203752,deepseek/deepseek-v4-pro,01-tokens,2,2,0,50
2026-08-30_203752,deepseek/deepseek-v4-pro,02-orders,3,3,0,13
2026-08-30_203752,deepseek/deepseek-v4-pro,03-storage,3,3,0,30
2026-08-30_203752,deepseek/deepseek-v4-pro,04-concurrency,2,2,0,22
2026-08-30_203752,deepseek/deepseek-v4-pro,05-volume,1,3,0,36
2026-08-30_203752,deepseek/deepseek-v4-pro,06-split-c,1,1,0,72
2026-08-30_204135,deepseek/deepseek-v4-pro,01-tokens,2,2,1,21
2026-08-30_204135,deepseek/deepseek-v4-pro,02-orders,3,3,0,16
2026-08-30_204135,deepseek/deepseek-v4-pro,03-storage,3,3,0,22
2026-08-30_204135,deepseek/deepseek-v4-pro,04-concurrency,2,2,0,24
2026-08-30_204135,deepseek/deepseek-v4-pro,05-volume,2,3,0,28
2026-08-30_204135,deepseek/deepseek-v4-pro,06-split-c,1,1,0,102
2026-08-30_204508,deepseek/deepseek-v4-pro,01-tokens,2,2,1,34
2026-08-30_204508,deepseek/deepseek-v4-pro,02-orders,3,3,0,19
2026-08-30_204508,deepseek/deepseek-v4-pro,03-storage,3,3,0,22
2026-08-30_204508,deepseek/deepseek-v4-pro,04-concurrency,2,2,0,23
2026-08-30_204508,deepseek/deepseek-v4-pro,05-volume,2,3,0,37
2026-08-30_204508,deepseek/deepseek-v4-pro,06-split-c,0,1,0,13
